Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	nicolas1699	0:00:27	31:44.0	0:00:27	awareness	2013-03-13 13:31:44.010 - arrenn429 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	arrenn429	0:00:40	32:08.5	0:00:40	chat	2013-03-13 13:32:08.522 - penguinoidhung -> Before: they werent connect After: the two point were connected	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	penguinoidhung	0:00:05	31:50.8	0:00:05	chat	2013-03-13 13:31:50.844 - arrenn429 -> 7 mins left	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	arrenn429	0:0:-4	31:46.2		Geogebra:Topic 5	2013-03-13 13:31:46.231 - Dfonseca69 -> updated Point B	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:05	31:52.1		Geogebra:Topic 5	2013-03-13 13:31:52.083 - Dfonseca69 -> updated Point A	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:07	32:08.6	0:00:07	chat	2013-03-13 13:32:08.621 - jake19 -> amswer the question people	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:02	32:13.5	0:00:02	awareness	2013-03-13 13:32:13.521 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:02	32:21.3	0:00:02	chat	2013-03-13 13:32:21.346 - jake19 -> *answer	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:16	32:43.6	0:00:16	awareness	2013-03-13 13:32:43.577 - arrenn429 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	arrenn429	0:00:09	32:37.4	0:00:09	chat	2013-03-13 13:32:37.370 - penguinoidhung -> i did	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	penguinoidhung	0:00:02	32:33.7	0:00:02	chat	2013-03-13 13:32:33.748 - jake19 -> okay hung	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:21	33:06.5	0:00:21	chat	2013-03-13 13:33:06.456 - arrenn429 -> oh so before they werent connected by a line segment	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:09	32:54.6	0:00:09	chat	2013-03-13 13:32:54.626 - jake19 -> i know tht now..thank you	
